ID;turno;Nombre;Latitud;Longitud;frecuencia
115;T;LA GRAMA PARTES ALTAS;-11.858564;-77.100316;DIARIA
116;T;LOMAS PRIMERO DE MAYO Y BELAUNDE TERRY;-11.860644;-77.104207;DIARIA
117;T;OROPEZA_PARTES ALTAS;-11.820546;-77.109271;DIARIA
118;T;CHAVARRIA;-11.872986;-77.069529;DIARIA
119;T;SHANGRILA;-11.908365;-77.083593;DIARIA
120;T;CAPITANA;-11.901622;-77.072467;DIARIA
121;T;MARIA JESUS;-11.931145;-77.091530;DIARIA
122;T;ALAMEDA DEL NORTE;-11.840506;-77.094642;DIARIA
123;T;ZAPALLAL;-11.832636;-77.112619;DIARIA
124;T;PSJE EL PARRAL;-11.870622;-77.080981;DIARIA
125;T;PSJE AVITUNI;-11.866849;-77.088238;DIARIA
126;T;ALF. UGARTE PARTES ALTAS;-11.856776;-77.099872;DIARIA
127;T;TIWINZA PARTES ALTAS;-11.847740;-77.116054;DIARIA
128;T;5 DE OCTUBRE;-11.817850;-77.098549;DIARIA
129;T;EL PARASO;-11.825918;-77.116994;DIARIA
130;T;URB. EL GRAMADAL;-11.863866;-77.078669;DIARIA
131;T;URB. LOS PORTALES;-11.873514;-77.059880;DIARIA
132;T;TIWINZA - LA ALBORADA;-11.849727;-77.115256;DIARIA
133;T;EL DORADO  LAS TORRES;-11.827361;-77.093146;DIARIA
134;T;VALLE HERMOSO;-11.829124;-77.110359;DIARIA
135;T;OROPEZA;-11.821933;-77.110200;DIARIA
136;T;PRIMAVERA  ALFONSO UGARTE;-11.869518;-77.079016;DIARIA
137;T;LAS FRESAS Y LA MERCED;-11.877974;-77.061523;DIARIA
138;T;ROSA LUZ A Y B;-11.882453;-77.074541;DIARIA
139;N;PC ANTIGUA PANAMERICANA;-11.890232;-77.068743;DIARIA
140;N;PC ANTIGUA ENSENADA;-11.929525;-77.078860;DIARIA
141;N;PC CIRCUNVALACIN;-11.869832;-77.077531;DIARIA
142;N;NUEVA ESPERANZA;-11.835098;-77.084208;INTERDIARIA (L  Mi - V)
143;N;BELLAVISTA;-11.864451;-77.086439;INTERDIARIA (L  Mi - V)
144;N;CERRO VERDE;-11.816675;-77.094398;INTERDIARIA (L  Mi - V)
145;N;ELICEO COLLAZO;-11.820876;-77.108241;INTERDIARIA (L  Mi - V)
146;N;CERCADO A;-11.829953;-77.105847;DIARIA
147;N;LAMPA DE ORO;-11.838497;-77.112058;DIARIA
148;N;BELLA AURORA;-11.832144;-77.108535;DIARIA
149;N;SANTA ROSA BAJO (AMBOS LADOS A);-11.890239;-77.068465;DIARIA
150;N;SANTA ROSA BAJO (AMBOS LADOS B);-11.895915;-77.067528;DIARIA
151;N;LADERAS DE CHILLN PARTE BAJA;-11.927958;-77.087055;DIARIA
152;N;SANTA ROSA PARTE ALTA;-11.874319;-77.089181;DIARIA
153;N;ENSENADA IZQUIERDA;-11.936985;-77.093342;DIARIA
154;N;5 ETAPAS DE CHILLN;-11.923055;-77.078387;DIARIA
155;N;ENSENADA PARTE ALTA (LADO DERECHO Y IZQUIERDO);-11.925474;-77.081443;DIARIA
156;N;PORTALES_FOVIMAR;-11.932347;-77.086006;DIARIA
157;N;ENSENADA DERECHA;-11.929552;-77.097830;DIARIA
158;N;LADERAS_VALLE CHILLON;-11.916262;-77.082366;DIARIA
159;N;HIJOS DE LUYA;-11.835384;-77.109065;DIARIA
160;N;CERCADO B;-11.937448;-77.097464;DIARIA
161;N;AVENIDAS PRINCIPALES;-11.917626;-77.073785;DIARIA
162;N;PANAMERICANA NORTE;-11.880964;-77.068782;DIARIA
